formula_file,execution_time_in,timeout
/home/samplingfm/Benchmarks/FeatureModels/h8max.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/smdk2410.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/snds.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/linux.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/hs7729pci.cnf,335.0,True
/home/samplingfm/Benchmarks/FMEasy/coreboot.cnf,335.0,True
/home/samplingfm/Benchmarks/FMEasy/2.6.32-2var.cnf,335.0,True
/home/samplingfm/Benchmarks/FMEasy/freebsd-icse11.cnf,335.0,True
/home/samplingfm/Benchmarks/FMEasy/2.6.33.3-2var.cnf,335.0,True
/home/samplingfm/Benchmarks/FMEasy/embtoolkit.cnf,335.0,True
/home/samplingfm/Benchmarks/FMEasy/freetz.cnf,335.0,True
/home/samplingfm/Benchmarks/FMEasy/buildroot.cnf,335.0,True
/home/samplingfm/Benchmarks/FMEasy/2.6.28.6-icse11.cnf,335.0,True
/home/samplingfm/Benchmarks/FMEasy/uClinux.cnf,202.14039850234985,False
/home/samplingfm/Benchmarks/FMEasy/busybox-1.18.0.cnf,335.0,True
/home/samplingfm/Benchmarks/FMEasy/ecos-icse11.cnf,335.0,True
/home/samplingfm/Benchmarks/FMEasy/uClinux-config.cnf,335.0,True
