formula_file,timeout,timeout_reached,execution_time_in,total_sampling_time,avg_sampling_time,model_count,requested_samples,actual_samples
/home/samplingfm/Benchmarks/FeatureModels/e7t.cnf,711,True,711.010803937912,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/olpce2294.cnf,711,True,711.0138673782349,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/am31_sim.cnf,711,True,711.0124340057373,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/stdeval1.cnf,711,True,711.0127782821655,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/pc_rltk8139.cnf,711,True,711.0118510723114,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/adder.cnf,711,True,711.0151081085205,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/cme555.cnf,711,True,711.01123046875,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/refidt334.cnf,711,True,711.0114600658417,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/calm16_ceb.cnf,711,True,711.0130524635315,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/pid.cnf,711,True,711.0139338970184,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/asb.cnf,711,True,711.0139851570129,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/iq80310.cnf,711,True,711.0138056278229,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/fads.cnf,711,True,711.0115079879761,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/adderII.cnf,711,True,711.01313829422,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/cerf.cnf,711,True,711.0125846862793,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/assabet.cnf,711,True,711.012127161026,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/iq80321.cnf,711,True,711.0131316184998,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/tx39_sim.cnf,711,True,711.0135955810547,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/sa1100mm.cnf,711,True,711.0120134353638,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/npwr.cnf,711,True,711.0113008022308,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/brutus.cnf,711,True,711.0105051994324,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/cerfpda.cnf,711,True,711.0117342472076,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/ceb_v850.cnf,711,True,711.0114407539368,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/mpc50.cnf,711,True,711.0107266902924,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/at91sam7xek.cnf,711,True,711.0119638442993,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/edosk2674.cnf,711,True,711.0125184059143,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/pc_vmWare.cnf,711,True,711.0120859146118,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/csb281.cnf,711,True,711.0120115280151,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/uE250.cnf,711,True,711.0120756626129,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/moab.cnf,711,True,711.0125730037689,,,,10,0
