start_time,formula_file,num_vars,independent_support_size,num_clauses,tot_num_models,max_component_split_depth,max_branch_var_depth,num_samples,num_second_pass_groups,avg_second_pass_var,execution_time,pass1_time,pass2_time,timeout,execution_time_in
Fri Jul 10 17:24:08 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring21.cnf,697,61,2203,8388608,2,25,10,10,261.90,0.106946,0.073657,0.033289,False,0.11787176132202148
Fri Jul 10 17:24:09 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_0_b12_1.cnf,427,37,1382,1073741824,3,33,10,10,132.10,1.00499,0.94801,0.056975,False,1.0158135890960693
Fri Jul 10 17:24:09 2020,/home/samplingfm/Benchmarks/V7/s820a_7_4.cnf,616,23,1703,591872,3,10,10,9,38.56,0.044443,0.02383,0.020613,False,0.057083845138549805
Fri Jul 10 17:24:11 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring51.cnf,496,42,1947,16777216,4,40,10,10,160.00,1.51566,1.45837,0.057293,False,1.5285959243774414
Fri Jul 10 17:24:11 2020,/home/samplingfm/Benchmarks/V7/s382_7_4.cnf,281,24,711,3699712,3,11,10,9,80.33,0.034815,0.01668,0.018135,False,0.04632091522216797
Fri Jul 10 17:24:11 2020,/home/samplingfm/Benchmarks/V3/s344_3_2.cnf,197,24,464,8388608,2,14,10,8,35.88,0.029147,0.018058,0.011089,False,0.03975200653076172
Fri Jul 10 17:24:11 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case133.cnf,211,42,615,549755813888,3,23,10,7,166.86,0.054471,0.017104,0.037367,False,0.0672311782836914
Fri Jul 10 17:24:11 2020,/home/samplingfm/Benchmarks/V7/s510_7_4.cnf,316,25,844,15073280,3,9,10,10,19.70,0.033749,0.019922,0.013827,False,0.046408653259277344
Fri Jul 10 17:24:11 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case101.cnf,72,24,178,2097152,2,19,10,5,49.80,0.022179,0.009214,0.012965,False,0.03374743461608887
Fri Jul 10 17:24:12 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case120.cnf,284,61,850,70368744177664,6,30,10,10,143.40,0.828775,0.381055,0.44772,False,0.8398091793060303
Fri Jul 10 17:24:12 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring22.cnf,695,61,2193,8388608,2,24,10,9,260.67,0.107812,0.071171,0.036641,False,0.11893248558044434
Fri Jul 10 17:24:12 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case2.cnf,296,26,1110,4194304,4,22,10,9,99.33,0.08218,0.057829,0.024351,False,0.09436178207397461
Fri Jul 10 17:24:13 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_2_b12_1.cnf,427,37,1382,1073741824,3,33,10,10,149.60,1.02421,0.95729,0.066923,False,1.035787582397461
Fri Jul 10 17:24:54 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring14.cnf,1458,72,5009,1865275930882,3,42,10,10,286.50,40.3376,40.1654,0.172242,False,40.35637664794922
Fri Jul 10 17:24:54 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case202.cnf,200,45,544,4398046511104,2,12,10,7,86.71,0.033241,0.012996,0.020245,False,0.04481363296508789
Fri Jul 10 17:24:58 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring5.cnf,885,72,2810,68719476736,2,42,10,10,208.90,4.15847,4.1089,0.049575,False,4.170791864395142
Fri Jul 10 17:25:56 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case14.cnf,247,67,649,562949953421312,6,41,10,8,165.00,58.2246,55.3161,2.90852,False,58.25817012786865
Fri Jul 10 17:25:57 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_1_b14_1.cnf,238,45,680,4398046511104,2,26,10,9,105.44,0.220658,0.154901,0.065757,False,0.23322057723999023
Fri Jul 10 17:25:57 2020,/home/samplingfm/Benchmarks/V15/s420_new_15_7.cnf,351,34,934,8589934592,3,19,10,9,119.33,0.044873,0.020191,0.024682,False,0.05725908279418945
Fri Jul 10 17:25:57 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case203.cnf,214,49,580,70368744177664,3,14,10,10,78.00,0.035132,0.014716,0.020416,False,0.04793214797973633
Fri Jul 10 17:25:57 2020,/home/samplingfm/Benchmarks/V7/s444_7_4.cnf,308,24,788,12818432,5,12,10,10,104.60,0.03685,0.019467,0.017383,False,0.049040794372558594
Fri Jul 10 17:25:57 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case3.cnf,294,26,1104,4194304,4,22,10,9,100.56,0.081384,0.055246,0.026138,False,0.09377717971801758
Fri Jul 10 17:26:10 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring10.cnf,1099,72,3632,274408144896,3,42,10,10,294.20,12.5562,12.4296,0.126621,False,12.572212219238281
Fri Jul 10 17:26:10 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case135.cnf,236,41,708,2097152,1,19,10,7,131.29,0.034149,0.012392,0.021757,False,0.045111656188964844
Fri Jul 10 17:26:10 2020,/home/samplingfm/Benchmarks/V7/s526_7_4.cnf,383,24,1019,6291456,5,20,10,10,91.50,0.168351,0.149774,0.018577,False,0.17864084243774414
Fri Jul 10 17:26:10 2020,/home/samplingfm/Benchmarks/V3/s526_3_2.cnf,365,24,943,4194304,5,17,10,9,139.89,0.076308,0.053499,0.022809,False,0.08596277236938477
