feature id,name,obs_freq,th_freq,dev (%)
56,feature_56,0.000000,0.125000,100.000000
57,feature_57,0.000000,0.250000,100.000000
58,feature_58,0.000000,0.500000,100.000000
59,feature_59,0.000000,0.093750,100.000000
60,feature_60,0.000000,0.062500,100.000000
61,feature_61,0.000000,0.125000,100.000000
62,feature_62,0.000000,0.250000,100.000000
63,feature_63,0.000000,0.093750,100.000000
64,feature_64,0.000000,0.062500,100.000000
65,feature_65,0.000000,0.125000,100.000000
66,feature_66,0.000000,0.500000,100.000000
67,feature_67,0.000000,0.031250,100.000000
68,feature_68,0.000000,0.500000,100.000000
69,feature_69,0.499500,0.500000,0.100000
70,feature_70,0.000000,0.093750,100.000000
71,feature_71,0.000000,0.062500,100.000000
72,feature_72,0.000000,0.125000,100.000000
73,feature_73,0.000000,0.093750,100.000000
74,feature_74,0.000000,0.062500,100.000000
75,feature_75,0.000000,0.500000,100.000000
76,feature_76,0.000000,0.031250,100.000000
77,feature_77,0.000000,0.500000,100.000000
78,feature_78,0.497502,0.500000,0.499600
79,feature_79,0.000000,0.093750,100.000000
80,feature_80,0.000000,0.062500,100.000000
81,feature_81,0.000000,0.125000,100.000000
82,feature_82,0.000000,0.093750,100.000000
83,feature_83,0.000000,0.062500,100.000000
84,feature_84,0.000000,0.125000,100.000000
85,feature_85,0.000000,0.093750,100.000000
86,feature_86,0.000000,0.062500,100.000000
87,feature_87,0.000000,0.093750,100.000000
88,feature_88,0.000000,0.062500,100.000000
89,feature_89,0.000000,0.093750,100.000000
90,feature_90,0.000000,0.062500,100.000000
91,feature_91,0.000000,0.531250,100.000000
92,feature_92,0.000000,0.797852,100.000000
93,feature_93,0.500500,0.500000,0.100000
94,feature_94,0.000000,0.704102,100.000000
95,feature_95,0.000000,0.042969,100.000000
96,feature_96,0.000000,0.035156,100.000000
97,feature_97,0.000000,0.070312,100.000000
98,feature_98,0.000000,0.093750,100.000000
99,feature_99,0.000000,0.031250,100.000000
100,feature_100,0.000000,0.031250,100.000000
101,feature_101,0.000000,0.062500,100.000000
102,feature_102,0.000000,0.062500,100.000000
103,feature_103,0.000000,0.062500,100.000000
104,feature_104,0.000000,0.031250,100.000000
105,feature_105,0.000000,0.062500,100.000000
106,feature_106,0.000000,0.062500,100.000000
107,feature_107,0.000000,0.031250,100.000000
108,feature_108,0.000000,0.062500,100.000000
109,feature_109,0.000000,0.062500,100.000000
110,feature_110,0.000000,0.062500,100.000000
111,feature_111,0.000000,0.062500,100.000000
112,feature_112,0.000000,0.062500,100.000000
113,feature_113,0.000000,0.702148,100.000000
114,feature_114,0.000000,0.035156,100.000000
115,feature_115,0.000000,0.027344,100.000000
116,feature_116,0.000000,0.054688,100.000000
117,feature_117,0.000000,0.031250,100.000000
118,feature_118,0.000000,0.031250,100.000000
119,feature_119,0.000000,0.531250,100.000000
120,feature_120,0.000000,0.000000,0.000000
121,feature_121,0.000000,0.062500,100.000000
122,feature_122,0.000000,0.062500,100.000000
123,feature_123,0.000000,0.031250,100.000000
124,feature_124,0.000000,0.062500,100.000000
125,feature_125,0.000000,0.062500,100.000000
126,feature_126,0.000000,0.031250,100.000000
127,feature_127,0.000000,0.062500,100.000000
128,feature_128,0.000000,0.062500,100.000000
129,feature_129,0.000000,0.062500,100.000000
130,feature_130,0.000000,0.062500,100.000000
131,feature_131,0.000000,0.062500,100.000000
132,feature_132,0.000000,0.700195,100.000000
133,feature_133,0.000000,0.039062,100.000000
134,feature_134,0.000000,0.031250,100.000000
135,feature_135,0.000000,0.062500,100.000000
136,feature_136,0.000000,0.062500,100.000000
137,feature_137,0.000000,0.062500,100.000000
138,feature_138,0.000000,0.031250,100.000000
139,feature_139,0.000000,0.062500,100.000000
140,feature_140,0.000000,0.000000,0.000000
141,feature_141,0.000000,0.062500,100.000000
142,feature_142,0.000000,0.031250,100.000000
143,feature_143,0.000000,0.062500,100.000000
144,feature_144,0.000000,0.062500,100.000000
145,feature_145,0.000000,0.031250,100.000000
146,feature_146,0.000000,0.062500,100.000000
147,feature_147,0.000000,0.062500,100.000000
148,feature_148,0.000000,0.062500,100.000000
149,feature_149,0.000000,0.062500,100.000000
150,feature_150,0.000000,0.062500,100.000000
151,feature_151,0.000000,0.698242,100.000000
152,feature_152,0.000000,0.042969,100.000000
153,feature_153,0.000000,0.035156,100.000000
154,feature_154,0.000000,0.070312,100.000000
155,feature_155,0.000000,0.093750,100.000000
156,feature_156,0.000000,0.093750,100.000000
157,feature_157,0.000000,0.031250,100.000000
158,feature_158,0.000000,0.093750,100.000000
159,feature_159,0.000000,0.093750,100.000000
160,feature_160,0.000000,0.031250,100.000000
161,feature_161,0.000000,0.031250,100.000000
162,feature_162,0.000000,0.062500,100.000000
163,feature_163,0.000000,0.062500,100.000000
164,feature_164,0.000000,0.031250,100.000000
165,feature_165,0.000000,0.062500,100.000000
166,feature_166,0.000000,0.062500,100.000000
167,feature_167,0.000000,0.062500,100.000000
168,feature_168,0.000000,0.062500,100.000000
169,feature_169,0.000000,0.062500,100.000000
170,feature_170,0.000000,0.696289,100.000000
171,feature_171,0.000000,0.035156,100.000000
172,feature_172,0.000000,0.027344,100.000000
173,feature_173,0.000000,0.054688,100.000000
174,feature_174,0.000000,0.031250,100.000000
175,feature_175,0.000000,0.031250,100.000000
176,feature_176,0.000000,0.031250,100.000000
177,feature_177,0.000000,0.031250,100.000000
178,feature_178,0.000000,0.031250,100.000000
179,feature_179,0.000000,0.031250,100.000000
180,feature_180,0.000000,0.531250,100.000000
181,feature_181,0.000000,0.000000,0.000000
182,feature_182,0.000000,0.062500,100.000000
183,feature_183,0.000000,0.031250,100.000000
184,feature_184,0.000000,0.062500,100.000000
185,feature_185,0.000000,0.062500,100.000000
186,feature_186,0.000000,0.062500,100.000000
187,feature_187,0.000000,0.031250,100.000000
188,feature_188,0.000000,0.062500,100.000000
189,feature_189,0.000000,0.062500,100.000000
190,feature_190,0.000000,0.694336,100.000000
191,feature_191,0.000000,0.042969,100.000000
192,feature_192,0.000000,0.035156,100.000000
