feature id,name,obs_freq,th_freq,dev (%)
442,feature_442,0.000000,0.000000,0.000000
443,feature_443,0.000000,0.000000,0.000000
444,feature_444,0.000000,0.000000,0.000000
445,feature_445,0.000000,0.000000,0.000000
446,feature_446,0.000000,0.000000,0.000000
447,feature_447,0.000000,0.000000,0.000000
448,feature_448,0.000000,0.000000,0.000000
449,feature_449,0.000000,0.000000,0.000000
450,feature_450,0.000000,0.000000,0.000000
451,feature_451,0.000000,0.000000,0.000000
452,feature_452,0.000000,0.000000,0.000000
453,feature_453,0.000000,0.000000,0.000000
454,feature_454,0.000000,0.000000,0.000000
455,feature_455,0.000000,0.000000,0.000000
456,feature_456,0.000000,0.000000,0.000000
457,feature_457,0.000000,0.000000,0.000000
458,feature_458,0.000000,0.000000,0.000000
459,feature_459,0.000000,0.000000,0.000000
460,feature_460,0.000000,0.000000,0.000000
461,feature_461,0.000000,0.000000,0.000000
462,feature_462,0.000000,0.000000,0.000000
463,feature_463,0.000000,0.000000,0.000000
464,feature_464,0.000000,0.000000,0.000000
465,feature_465,0.000000,0.000000,0.000000
466,feature_466,0.000000,0.000000,0.000000
467,feature_467,0.000000,0.000000,0.000000
468,feature_468,0.000000,0.000000,0.000000
469,feature_469,0.000000,0.000000,0.000000
470,feature_470,0.000000,0.000000,0.000000
471,feature_471,0.000000,0.000000,0.000000
472,feature_472,0.000000,0.000000,0.000000
473,feature_473,0.000000,0.000000,0.000000
474,feature_474,0.000000,0.000000,0.000000
475,feature_475,0.000000,0.000000,0.000000
476,feature_476,0.000000,0.000000,0.000000
477,feature_477,0.000000,0.000000,0.000000
478,feature_478,0.000000,0.000000,0.000000
479,feature_479,0.000000,0.000000,0.000000
480,feature_480,0.000000,0.000000,0.000000
481,feature_481,0.000000,0.000000,0.000000
482,feature_482,0.000000,0.000000,0.000000
483,feature_483,0.000000,0.000000,0.000000
484,feature_484,0.000000,0.000000,0.000000
485,feature_485,0.000000,0.000000,0.000000
486,feature_486,0.000000,0.000000,0.000000
487,feature_487,0.000000,0.000000,0.000000
488,feature_488,0.000000,0.000000,0.000000
489,feature_489,0.000000,0.000000,0.000000
490,feature_490,0.000000,0.000000,0.000000
491,feature_491,0.000000,0.000000,0.000000
492,feature_492,0.000000,0.000000,0.000000
493,feature_493,0.000000,0.000000,0.000000
494,feature_494,0.000000,0.000000,0.000000
495,feature_495,0.000000,0.000000,0.000000
496,feature_496,0.000000,0.000000,0.000000
497,feature_497,0.000000,0.000000,0.000000
498,feature_498,0.000000,0.000000,0.000000
499,feature_499,0.000000,0.000000,0.000000
500,feature_500,0.000000,0.000000,0.000000
501,feature_501,0.000000,0.000000,0.000000
502,feature_502,0.000000,0.000000,0.000000
503,feature_503,0.000000,0.000000,0.000000
504,feature_504,0.000000,0.000000,0.000000
505,feature_505,0.000000,0.000000,0.000000
506,feature_506,0.000000,0.000000,0.000000
507,feature_507,0.000000,0.000000,0.000000
508,feature_508,0.000000,0.000000,0.000000
509,feature_509,0.000000,0.000000,0.000000
510,feature_510,0.000000,0.000000,0.000000
511,feature_511,0.000000,0.000000,0.000000
512,feature_512,0.000000,0.000000,0.000000
513,feature_513,0.000000,0.000000,0.000000
514,feature_514,0.000000,0.000000,0.000000
515,feature_515,0.000000,0.000000,0.000000
516,feature_516,0.000000,0.000000,0.000000
517,feature_517,0.000000,0.000000,0.000000
518,feature_518,0.000000,0.000000,0.000000
519,feature_519,0.000000,0.000000,0.000000
520,feature_520,0.000000,0.000000,0.000000
521,feature_521,0.000000,0.000000,0.000000
522,feature_522,0.000000,0.000000,0.000000
523,feature_523,0.000000,0.000000,0.000000
524,feature_524,0.000000,0.000000,0.000000
525,feature_525,0.000000,0.000000,0.000000
526,feature_526,0.000000,0.000000,0.000000
527,feature_527,0.000000,0.000000,0.000000
528,feature_528,0.000000,0.000000,0.000000
529,feature_529,0.000000,0.000000,0.000000
530,feature_530,0.000000,0.000000,0.000000
531,feature_531,0.000000,0.000000,0.000000
532,feature_532,0.000000,0.000000,0.000000
533,feature_533,0.000000,0.000000,0.000000
534,feature_534,0.000000,0.000000,0.000000
535,feature_535,0.000000,0.000000,0.000000
536,feature_536,0.000000,0.000000,0.000000
537,feature_537,0.000000,0.000000,0.000000
538,feature_538,0.000000,0.000000,0.000000
539,feature_539,0.000000,0.000000,0.000000
540,feature_540,0.000000,0.000000,0.000000
541,feature_541,0.000000,0.000000,0.000000
542,feature_542,0.000000,0.000000,0.000000
543,feature_543,0.000000,0.000000,0.000000
544,feature_544,0.000000,0.000000,0.000000
