formula_file,execution_time_in,timeout,start_time,num_vars,independent_support_size,num_clauses,tot_num_models,max_component_split_depth,max_branch_var_depth,num_samples,num_second_pass_groups,avg_second_pass_var,execution_time,pass1_time,pass2_time
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case68.cnf,0.10884642601013184,False,Fri Jun  5 07:54:32 2020,178,28,553,131072,1,18,10,9,47.11,0.086779,0.07508,0.011699
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case52.cnf,0.05241751670837402,False,Fri Jun  5 07:54:32 2020,132,21,395,262144,2,11,10,7,61.14,0.031836,0.015467,0.016369
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring4.cnf,5.842721700668335,False,Fri Jun  5 07:54:38 2020,891,72,2839,68719476736,3,42,10,10,233.40,5.81923,5.7534,0.06583
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case12.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case39.cnf,0.5532546043395996,False,Fri Jun  5 07:57:39 2020,245,65,650,36028797018963968,6,25,10,10,136.90,0.521345,0.479286,0.042059
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case50.cnf,1.773045301437378,False,Fri Jun  5 07:57:40 2020,843,65,3286,4611686018427387904,6,51,10,10,299.20,1.74863,1.66057,0.088059
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring16.cnf,74.84810423851013,False,Fri Jun  5 07:58:55 2020,1627,72,5835,1865275930882,3,51,10,10,287.60,74.8058,74.5164,0.289411
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case61.cnf,151.91361093521118,False,Fri Jun  5 08:01:27 2020,282,66,751,281474976710656,4,39,10,4,172.75,151.835,138.263,13.5723
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case136.cnf,0.09516572952270508,False,Fri Jun  5 08:01:27 2020,211,42,615,549755813888,3,23,10,9,179.78,0.069857,0.023452,0.046405
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case203.cnf,0.058556318283081055,False,Fri Jun  5 08:01:27 2020,214,49,580,70368744177664,3,14,10,8,99.50,0.038143,0.014714,0.023429
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring1.cnf,5.374903917312622,False,Fri Jun  5 08:01:33 2020,891,72,2839,68719476736,4,39,10,10,246.20,5.35887,5.28968,0.069195
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring60.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b12_even3_linear.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case105.cnf,9.7411367893219,False,Fri Jun  5 08:07:43 2020,170,59,407,2199023255552,10,33,10,9,71.44,9.70818,9.68958,0.018603
